STARTDATE,HZ,VPM
26-12-2025 11:18,49.952366,406.91
26-12-2025 11:18,49.948318,406.7
26-12-2025 11:18,49.94199,406.81
26-12-2025 11:18,49.948238,407.02
26-12-2025 11:18,49.952644,406.85
26-12-2025 11:18,49.94416,406.68
26-12-2025 11:18,49.945675,406.89
26-12-2025 11:18,49.950886,406.93
26-12-2025 11:18,49.947811,406.68
26-12-2025 11:18,49.942635,406.78
26-12-2025 11:18,49.946503,407.06
26-12-2025 11:18,49.953136,406.89
26-12-2025 11:18,49.945549,406.68
26-12-2025 11:18,49.942127,406.91
26-12-2025 11:18,49.951385,407.06
26-12-2025 11:18,49.950535,406.81
26-12-2025 11:18,49.942924,406.74
26-12-2025 11:18,49.945988,406.97
26-12-2025 11:18,49.951591,406.97
26-12-2025 11:18,49.946743,406.76
26-12-2025 11:18,49.944435,406.81
26-12-2025 11:18,49.948601,406.93
26-12-2025 11:18,49.948994,406.83
26-12-2025 11:18,49.945103,406.78
26-12-2025 11:18,49.946133,406.93
26-12-2025 11:18,49.94997,406.91
26-12-2025 11:18,49.947956,406.76
26-12-2025 11:18,49.94313,406.83
26-12-2025 11:18,49.948616,406.93
26-12-2025 11:18,49.950378,406.81
26-12-2025 11:18,49.945251,406.68
26-12-2025 11:18,49.943542,406.89
26-12-2025 11:18,49.949692,406.97
26-12-2025 11:18,49.95015,406.72
26-12-2025 11:18,49.943787,406.72
26-12-2025 11:18,49.942513,407
26-12-2025 11:18,49.955532,406.89
26-12-2025 11:18,49.944641,406.59
26-12-2025 11:18,49.942307,406.76
26-12-2025 11:18,49.947559,407.06
26-12-2025 11:18,49.953369,406.85
26-12-2025 11:18,49.942905,406.62
26-12-2025 11:18,49.944252,406.87
26-12-2025 11:18,49.950512,407
26-12-2025 11:18,49.949722,406.74
26-12-2025 11:18,49.942726,406.68
26-12-2025 11:18,49.945343,406.89
26-12-2025 11:18,49.950413,406.89
26-12-2025 11:18,49.946823,406.74
26-12-2025 11:18,49.944508,406.76
26-12-2025 11:18,49.948601,406.85
26-12-2025 11:18,49.947021,406.81
26-12-2025 11:18,49.945644,406.81
26-12-2025 11:18,49.946232,406.85
26-12-2025 11:18,49.949245,406.81
26-12-2025 11:18,49.945324,406.72
26-12-2025 11:18,49.945168,406.83
26-12-2025 11:18,49.947529,406.89
26-12-2025 11:18,49.949238,406.74
26-12-2025 11:18,49.944744,406.66
26-12-2025 11:18,49.943268,406.87
26-12-2025 11:18,49.951099,406.91
26-12-2025 11:18,49.947033,406.68
26-12-2025 11:18,49.942787,406.7
26-12-2025 11:18,49.946724,406.93
26-12-2025 11:18,49.94997,406.87
26-12-2025 11:18,49.945679,406.66
26-12-2025 11:18,49.944077,406.76
26-12-2025 11:18,49.947956,406.93
26-12-2025 11:18,49.950035,406.81
26-12-2025 11:18,49.94442,406.68
26-12-2025 11:18,49.945381,406.83
26-12-2025 11:18,49.949574,406.89
26-12-2025 11:18,49.945988,406.76
26-12-2025 11:18,49.946484,406.72
26-12-2025 11:18,49.945572,406.81
26-12-2025 11:18,49.94841,406.83
26-12-2025 11:18,49.947151,406.78
26-12-2025 11:18,49.946484,406.74
26-12-2025 11:18,49.946617,406.76
26-12-2025 11:18,49.946865,406.81
26-12-2025 11:18,49.946953,406.81
26-12-2025 11:18,49.94706,406.81
26-12-2025 11:18,49.94677,406.76
26-12-2025 11:18,49.947239,406.76
26-12-2025 11:18,49.945507,406.83
26-12-2025 11:18,49.949718,406.83
26-12-2025 11:18,49.945816,406.7
26-12-2025 11:18,49.946152,406.7
26-12-2025 11:18,49.945179,406.87
26-12-2025 11:18,49.949203,406.89
26-12-2025 11:18,49.947098,406.74
26-12-2025 11:18,49.945766,406.7
26-12-2025 11:18,49.945793,406.85
26-12-2025 11:18,49.948498,406.85
26-12-2025 11:18,49.94738,406.72
26-12-2025 11:18,49.944588,406.74
26-12-2025 11:18,49.946571,406.87
26-12-2025 11:18,49.948879,406.89
26-12-2025 11:18,49.945557,406.78
26-12-2025 11:18,49.946697,406.76
26-12-2025 11:18,49.946651,406.83
26-12-2025 11:18,49.945942,406.85
26-12-2025 11:18,49.945572,406.85
26-12-2025 11:18,49.947544,406.85
26-12-2025 11:18,49.947403,406.81
26-12-2025 11:18,49.946175,406.78
26-12-2025 11:18,49.945335,406.87
26-12-2025 11:18,49.94762,406.87
26-12-2025 11:18,49.948071,406.74
26-12-2025 11:18,49.945259,406.76
26-12-2025 11:18,49.944572,406.91
26-12-2025 11:18,49.948723,406.91
26-12-2025 11:18,49.947353,406.78
26-12-2025 11:18,49.944901,406.81
26-12-2025 11:18,49.945572,406.93
26-12-2025 11:18,49.949982,406.85
26-12-2025 11:18,49.94577,406.72
26-12-2025 11:18,49.943508,406.85
26-12-2025 11:18,49.946739,406.97
26-12-2025 11:18,49.950611,406.83
26-12-2025 11:18,49.944736,406.74
26-12-2025 11:18,49.945274,406.87
26-12-2025 11:18,49.946308,406.95
26-12-2025 11:18,49.94817,406.85
26-12-2025 11:18,49.947529,406.74
26-12-2025 11:18,49.943989,406.81
26-12-2025 11:18,49.946083,406.91
26-12-2025 11:18,49.948868,406.85
26-12-2025 11:18,49.946316,406.74
26-12-2025 11:18,49.944763,406.81
26-12-2025 11:18,49.945259,406.93
26-12-2025 11:18,49.94849,406.89
26-12-2025 11:18,49.946827,406.72
26-12-2025 11:18,49.945168,406.7
26-12-2025 11:18,49.944412,406.87
26-12-2025 11:18,49.948242,406.91
26-12-2025 11:18,49.947449,406.76
26-12-2025 11:18,49.945251,406.72
26-12-2025 11:18,49.945122,406.83
26-12-2025 11:18,49.946892,406.89
26-12-2025 11:18,49.947472,406.81
26-12-2025 11:18,49.946789,406.72
26-12-2025 11:18,49.943363,406.83
26-12-2025 11:18,49.946785,406.95
26-12-2025 11:18,49.948872,406.85
26-12-2025 11:18,49.946102,406.72
26-12-2025 11:18,49.944118,406.81
26-12-2025 11:18,49.947018,406.93
26-12-2025 11:18,49.947933,406.85
26-12-2025 11:18,49.946213,406.74
26-12-2025 11:18,49.94455,406.81
26-12-2025 11:18,49.94677,406.89
26-12-2025 11:18,49.948353,406.83
26-12-2025 11:18,49.945824,406.7
26-12-2025 11:18,49.944916,406.76
26-12-2025 11:18,49.947041,406.85
26-12-2025 11:18,49.947128,406.81
26-12-2025 11:18,49.946705,406.72
26-12-2025 11:18,49.945717,406.7
26-12-2025 11:18,49.945557,406.78
26-12-2025 11:18,49.947205,406.81
26-12-2025 11:18,49.9473,406.7
26-12-2025 11:18,49.94474,406.68
26-12-2025 11:18,49.944866,406.81
26-12-2025 11:18,49.94751,406.85
26-12-2025 11:18,49.946907,406.74
26-12-2025 11:18,49.945564,406.68
26-12-2025 11:18,49.944683,406.78
26-12-2025 11:18,49.946857,406.83
26-12-2025 11:18,49.948265,406.72
26-12-2025 11:18,49.944126,406.66
26-12-2025 11:18,49.944622,406.74
26-12-2025 11:18,49.947048,406.81
26-12-2025 11:18,49.948502,406.7
26-12-2025 11:18,49.945068,406.62
26-12-2025 11:18,49.944408,406.7
26-12-2025 11:18,49.945839,406.83
26-12-2025 11:18,49.948586,406.78
26-12-2025 11:18,49.945789,406.59
26-12-2025 11:18,49.944633,406.59
26-12-2025 11:18,49.942837,406.81
26-12-2025 11:18,49.949265,406.83
26-12-2025 11:18,49.946426,406.62
26-12-2025 11:18,49.943512,406.59
26-12-2025 11:18,49.944561,406.78
26-12-2025 11:18,49.948635,406.81
26-12-2025 11:18,49.944508,406.68
26-12-2025 11:18,49.945469,406.66
26-12-2025 11:18,49.944935,406.76
26-12-2025 11:18,49.946106,406.76
26-12-2025 11:18,49.945747,406.68
26-12-2025 11:18,49.944492,406.68
26-12-2025 11:18,49.944958,406.74
26-12-2025 11:18,49.945545,406.74
26-12-2025 11:18,49.944839,406.72
26-12-2025 11:18,49.945427,406.72
26-12-2025 11:18,49.946445,406.68
26-12-2025 11:18,49.94426,406.66
26-12-2025 11:18,49.944527,406.72
26-12-2025 11:18,49.946339,406.74
26-12-2025 11:18,49.946545,406.64
26-12-2025 11:18,49.943466,406.66
26-12-2025 11:18,49.943649,406.78
26-12-2025 11:18,49.948147,406.74
26-12-2025 11:18,49.944973,406.59
26-12-2025 11:18,49.941921,406.7
26-12-2025 11:18,49.945038,406.83
26-12-2025 11:18,49.949028,406.7
26-12-2025 11:18,49.942265,406.57
26-12-2025 11:18,49.94244,406.74
26-12-2025 11:18,49.946972,406.83
26-12-2025 11:18,49.947285,406.64
26-12-2025 11:18,49.941254,406.62
26-12-2025 11:18,49.94429,406.76
26-12-2025 11:18,49.946648,406.76
26-12-2025 11:18,49.944904,406.66
26-12-2025 11:18,49.943295,406.68
26-12-2025 11:18,49.945107,406.74
26-12-2025 11:18,49.944504,406.76
26-12-2025 11:18,49.945469,406.7
26-12-2025 11:18,49.943699,406.66
26-12-2025 11:18,49.94529,406.66
26-12-2025 11:18,49.943119,406.74
26-12-2025 11:18,49.944996,406.81
26-12-2025 11:18,49.946564,406.7
26-12-2025 11:18,49.944656,406.62
26-12-2025 11:18,49.941364,406.72
26-12-2025 11:18,49.946842,406.81
26-12-2025 11:18,49.946754,406.64
26-12-2025 11:18,49.942822,406.55
26-12-2025 11:18,49.942081,406.74
26-12-2025 11:18,49.945488,406.85
26-12-2025 11:18,49.948235,406.66
26-12-2025 11:18,49.942089,406.55
26-12-2025 11:18,49.941662,406.7
26-12-2025 11:18,49.947105,406.76
26-12-2025 11:18,49.944019,406.66
26-12-2025 11:18,49.944077,406.62
26-12-2025 11:18,49.942955,406.7
26-12-2025 11:18,49.944252,406.74
26-12-2025 11:18,49.945896,406.68
26-12-2025 11:18,49.943581,406.62
26-12-2025 11:18,49.943142,406.66
26-12-2025 11:18,49.9445,406.74
26-12-2025 11:18,49.944351,406.72
26-12-2025 11:18,49.943878,406.64
26-12-2025 11:18,49.94389,406.64
26-12-2025 11:18,49.943409,406.74
26-12-2025 11:18,49.944572,406.76
26-12-2025 11:18,49.944633,406.66
26-12-2025 11:18,49.944077,406.62
26-12-2025 11:18,49.941841,406.72
26-12-2025 11:18,49.944504,406.81
26-12-2025 11:18,49.945534,406.7
26-12-2025 11:18,49.943695,406.57
26-12-2025 11:18,49.942429,406.68
26-12-2025 11:18,49.94381,406.78
26-12-2025 11:18,49.947674,406.68
26-12-2025 11:18,49.942272,406.55
26-12-2025 11:18,49.941601,406.68
26-12-2025 11:18,49.945885,406.78
26-12-2025 11:18,49.945183,406.68
26-12-2025 11:18,49.941994,406.62
26-12-2025 11:18,49.944138,406.68
26-12-2025 11:18,49.944534,406.72
26-12-2025 11:18,49.944294,406.66
26-12-2025 11:18,49.942696,406.64
26-12-2025 11:18,49.944603,406.66
26-12-2025 11:18,49.943741,406.7
26-12-2025 11:18,49.943516,406.7
26-12-2025 11:18,49.943546,406.66
26-12-2025 11:18,49.943256,406.64
26-12-2025 11:18,49.943939,406.66
26-12-2025 11:18,49.942192,406.7
26-12-2025 11:18,49.942764,406.72
26-12-2025 11:18,49.944439,406.66
26-12-2025 11:18,49.941833,406.62
26-12-2025 11:18,49.94165,406.74
26-12-2025 11:18,49.944107,406.76
26-12-2025 11:18,49.94408,406.64
26-12-2025 11:18,49.940899,406.59
26-12-2025 11:18,49.941513,406.72
26-12-2025 11:18,49.94363,406.72
26-12-2025 11:18,49.943611,406.62
26-12-2025 11:18,49.940693,406.62
26-12-2025 11:18,49.942905,406.72
26-12-2025 11:18,49.942581,406.72
26-12-2025 11:18,49.944267,406.62
26-12-2025 11:18,49.94112,406.59
26-12-2025 11:18,49.941563,406.7
26-12-2025 11:18,49.943367,406.74
26-12-2025 11:18,49.943233,406.66
26-12-2025 11:18,49.942394,406.59
26-12-2025 11:18,49.94051,406.66
26-12-2025 11:18,49.9431,406.72
26-12-2025 11:18,49.942696,406.66
26-12-2025 11:18,49.941296,406.62
26-12-2025 11:18,49.941235,406.66
26-12-2025 11:18,49.94223,406.66
26-12-2025 11:18,49.942471,406.59
26-12-2025 11:18,49.940338,406.59
26-12-2025 11:18,49.942982,406.59
26-12-2025 11:18,49.941284,406.62
26-12-2025 11:18,49.940636,406.68
26-12-2025 11:18,49.94276,406.66
26-12-2025 11:18,49.942551,406.57
26-12-2025 11:18,49.938564,406.64
26-12-2025 11:18,49.941273,406.78
26-12-2025 11:18,49.945194,406.68
26-12-2025 11:18,49.940765,406.51
26-12-2025 11:18,49.936001,406.68
26-12-2025 11:18,49.943619,406.87
26-12-2025 11:18,49.944695,406.66
26-12-2025 11:18,49.937626,406.51
26-12-2025 11:18,49.937477,406.78
26-12-2025 11:18,49.944172,406.89
26-12-2025 11:18,49.944099,406.59
26-12-2025 11:18,49.935966,406.55
26-12-2025 11:18,49.93932,406.83
26-12-2025 11:18,49.944855,406.81
26-12-2025 11:18,49.941196,406.55
26-12-2025 11:18,49.935413,406.59
26-12-2025 11:18,49.941414,406.81
26-12-2025 11:18,49.943748,406.72
26-12-2025 11:18,49.940022,406.55
26-12-2025 11:18,49.93742,406.64
26-12-2025 11:18,49.942181,406.76
26-12-2025 11:18,49.94199,406.66
26-12-2025 11:18,49.938595,406.59
26-12-2025 11:18,49.940453,406.66
26-12-2025 11:18,49.941685,406.62
26-12-2025 11:18,49.941689,406.53
26-12-2025 11:18,49.93816,406.66
26-12-2025 11:18,49.940643,406.78
26-12-2025 11:18,49.944649,406.59
26-12-2025 11:18,49.938366,406.51
26-12-2025 11:18,49.935837,406.74
26-12-2025 11:18,49.948017,406.76
26-12-2025 11:18,49.941692,406.47
26-12-2025 11:18,49.934673,406.55
26-12-2025 11:18,49.941418,406.85
26-12-2025 11:18,49.945705,406.66
26-12-2025 11:18,49.941563,406.38
26-12-2025 11:18,49.933922,406.64
26-12-2025 11:18,49.944881,406.83
26-12-2025 11:18,49.946461,406.53
26-12-2025 11:18,49.934444,406.45
26-12-2025 11:18,49.940365,406.74
26-12-2025 11:18,49.945232,406.72
26-12-2025 11:18,49.941719,406.49
26-12-2025 11:18,49.935539,406.57
26-12-2025 11:18,49.943287,406.74
26-12-2025 11:18,49.943916,406.57
26-12-2025 11:18,49.938454,406.49
26-12-2025 11:18,49.936367,406.68
26-12-2025 11:18,49.944519,406.74
26-12-2025 11:18,49.942856,406.53
26-12-2025 11:18,49.935688,406.59
26-12-2025 11:18,49.940746,406.81
26-12-2025 11:18,49.944637,406.64
26-12-2025 11:18,49.939659,406.45
26-12-2025 11:18,49.933735,406.68
26-12-2025 11:18,49.944202,406.87
26-12-2025 11:18,49.944771,406.59
26-12-2025 11:18,49.936066,406.47
26-12-2025 11:18,49.937263,406.76
26-12-2025 11:18,49.944595,406.83
26-12-2025 11:18,49.943436,406.49
26-12-2025 11:18,49.933556,406.51
26-12-2025 11:18,49.939301,406.83
26-12-2025 11:18,49.945576,406.74
26-12-2025 11:18,49.939751,406.47
26-12-2025 11:18,49.935154,406.59
26-12-2025 11:18,49.942703,406.78
26-12-2025 11:18,49.942917,406.57
26-12-2025 11:18,49.937214,406.47
26-12-2025 11:18,49.936996,406.72
26-12-2025 11:18,49.944237,406.74
26-12-2025 11:18,49.940868,406.51
26-12-2025 11:18,49.934807,406.55
26-12-2025 11:18,49.94165,406.72
26-12-2025 11:18,49.942451,406.59
26-12-2025 11:18,49.936218,406.51
26-12-2025 11:18,49.937309,406.74
26-12-2025 11:18,49.941109,406.83
26-12-2025 11:18,49.945042,406.55
26-12-2025 11:18,49.932049,406.55
26-12-2025 11:18,49.938843,406.83
26-12-2025 11:18,49.946548,406.68
26-12-2025 11:18,49.937336,406.43
26-12-2025 11:18,49.932301,406.74
26-12-2025 11:18,49.944714,406.97
26-12-2025 11:18,49.944801,406.57
26-12-2025 11:18,49.933308,406.4
26-12-2025 11:18,49.935055,406.81
26-12-2025 11:18,49.945858,406.83
26-12-2025 11:18,49.941681,406.43
26-12-2025 11:18,49.930614,406.53
26-12-2025 11:18,49.939724,406.93
26-12-2025 11:18,49.945599,406.74
26-12-2025 11:18,49.937729,406.4
26-12-2025 11:18,49.932655,406.59
26-12-2025 11:18,49.942467,406.78
26-12-2025 11:18,49.941673,406.55
26-12-2025 11:18,49.932941,406.53
26-12-2025 11:18,49.93689,406.81
26-12-2025 11:18,49.942669,406.76
26-12-2025 11:18,49.938591,406.51
26-12-2025 11:18,49.932911,406.62
26-12-2025 11:18,49.941185,406.74
26-12-2025 11:18,49.94088,406.51
26-12-2025 11:18,49.933441,406.49
26-12-2025 11:18,49.934502,406.83
26-12-2025 11:18,49.944618,406.78
26-12-2025 11:18,49.940891,406.4
26-12-2025 11:18,49.927597,406.55
26-12-2025 11:18,49.940895,406.89
26-12-2025 11:18,49.944233,406.62
26-12-2025 11:18,49.933941,406.32
26-12-2025 11:18,49.931721,406.7
26-12-2025 11:18,49.941597,406.93
26-12-2025 11:18,49.943974,406.51
