STARTDATE,HZ,VPM
28-12-2025 10:36,49.95636,405.07
28-12-2025 10:36,49.961788,405.07
28-12-2025 10:36,49.957184,404.99
28-12-2025 10:36,49.955204,405.07
28-12-2025 10:36,49.958759,405.14
28-12-2025 10:36,49.96405,404.97
28-12-2025 10:36,49.952728,404.99
28-12-2025 10:36,49.956612,405.18
28-12-2025 10:36,49.963634,405.07
28-12-2025 10:36,49.95792,404.9
28-12-2025 10:36,49.953373,405.05
28-12-2025 10:36,49.958382,405.18
28-12-2025 10:36,49.962921,404.99
28-12-2025 10:36,49.955666,404.9
28-12-2025 10:36,49.955826,405.07
28-12-2025 10:36,49.959995,405.09
28-12-2025 10:36,49.96133,404.97
28-12-2025 10:36,49.95557,404.99
28-12-2025 10:36,49.960964,405.07
28-12-2025 10:36,49.960045,405.03
28-12-2025 10:36,49.956074,404.99
28-12-2025 10:36,49.958916,405.07
28-12-2025 10:36,49.96011,405.03
28-12-2025 10:36,49.961674,404.95
28-12-2025 10:36,49.954395,405.05
28-12-2025 10:36,49.958729,405.12
28-12-2025 10:36,49.961826,404.95
28-12-2025 10:36,49.954834,404.93
28-12-2025 10:36,49.957443,405.09
28-12-2025 10:36,49.961468,405.07
28-12-2025 10:36,49.960781,404.9
28-12-2025 10:36,49.954708,404.97
28-12-2025 10:36,49.957909,405.12
28-12-2025 10:36,49.961559,404.99
28-12-2025 10:36,49.958324,404.9
28-12-2025 10:36,49.954815,405.05
28-12-2025 10:36,49.961609,405.07
28-12-2025 10:36,49.958298,404.95
28-12-2025 10:36,49.956421,404.99
28-12-2025 10:36,49.958218,405.07
28-12-2025 10:36,49.960186,404.95
28-12-2025 10:36,49.960449,404.9
28-12-2025 10:36,49.953327,405.05
28-12-2025 10:36,49.962379,405.03
28-12-2025 10:36,49.960663,404.9
28-12-2025 10:36,49.954906,405.01
28-12-2025 10:36,49.958164,405.09
28-12-2025 10:36,49.961689,404.95
28-12-2025 10:36,49.955681,404.95
28-12-2025 10:36,49.957661,405.09
28-12-2025 10:36,49.961498,405.03
28-12-2025 10:36,49.960613,404.9
28-12-2025 10:36,49.953297,405.01
28-12-2025 10:36,49.960445,405.09
28-12-2025 10:36,49.961327,404.97
28-12-2025 10:36,49.95459,404.97
28-12-2025 10:36,49.95853,405.07
28-12-2025 10:36,49.962666,405.01
28-12-2025 10:36,49.958679,404.93
28-12-2025 10:36,49.955296,405.07
28-12-2025 10:36,49.960098,405.12
28-12-2025 10:36,49.964264,404.93
28-12-2025 10:36,49.953396,404.99
28-12-2025 10:36,49.958103,405.16
28-12-2025 10:36,49.96344,405.01
28-12-2025 10:36,49.956749,404.9
28-12-2025 10:36,49.955528,405.07
28-12-2025 10:36,49.963268,405.12
28-12-2025 10:36,49.960766,404.95
28-12-2025 10:36,49.957676,404.97
28-12-2025 10:36,49.957401,405.12
28-12-2025 10:36,49.962433,405.09
28-12-2025 10:36,49.959965,405.01
28-12-2025 10:36,49.957882,405.07
28-12-2025 10:36,49.962151,405.09
28-12-2025 10:36,49.960983,405.01
28-12-2025 10:36,49.954563,405.05
28-12-2025 10:36,49.960377,405.14
28-12-2025 10:36,49.961411,405.03
28-12-2025 10:36,49.957909,404.97
28-12-2025 10:36,49.956078,405.14
28-12-2025 10:36,49.963451,405.14
28-12-2025 10:36,49.959831,404.95
28-12-2025 10:36,49.95591,405.03
28-12-2025 10:36,49.959064,405.18
28-12-2025 10:36,49.963039,405.05
28-12-2025 10:36,49.957138,404.95
28-12-2025 10:36,49.956474,405.09
28-12-2025 10:36,49.962616,405.14
28-12-2025 10:36,49.960453,405.01
28-12-2025 10:36,49.956635,405.01
28-12-2025 10:36,49.959911,405.14
28-12-2025 10:36,49.96146,405.07
28-12-2025 10:36,49.960537,405.01
28-12-2025 10:36,49.955898,405.12
28-12-2025 10:36,49.962826,405.12
28-12-2025 10:36,49.961071,404.99
28-12-2025 10:36,49.955688,405.03
28-12-2025 10:36,49.959686,405.16
28-12-2025 10:36,49.961449,405.03
28-12-2025 10:36,49.956177,404.97
28-12-2025 10:36,49.957375,405.14
28-12-2025 10:36,49.962173,405.16
28-12-2025 10:36,49.961151,404.99
28-12-2025 10:36,49.955177,405.03
28-12-2025 10:36,49.959332,405.18
28-12-2025 10:36,49.9608,405.12
28-12-2025 10:36,49.959904,405.01
28-12-2025 10:36,49.956043,405.09
28-12-2025 10:36,49.961403,405.14
28-12-2025 10:36,49.961151,405.01
28-12-2025 10:36,49.955345,405.03
